Имя пользователя,Ссылка,Время,Текст,Хэштеги
Городской портал Kursk.com,@kurskcom,21 апр. 2020 г.,В Белгородской области расширилась площадь распространения CoViD-19  http://kursk.com/news/blackearth/46432.html…,
«Столица С» Саранск,@stolica_s,21 апр. 2020 г.,Мать сдала сына с covid-19 полиции за нарушение карантина,
Alex Ivanov,@Alexfly35,21 апр. 2020 г.,Какой-то бизджет с американской регистрацией N84UP (Aviation Bridge LLC) снижается в Москву из Тель-Авива . На Радарбоксе номер заблочен (BLOCKED) #N84UP #bizjets #COVID19 https://flightradar24.com/H25B/24623cc7,#covid #covid19
InterMax,@IntermaxFun,21 апр. 2020 г.,44 новых случая инфицирования коронавирусом COVID-19  зафиксировали в Житомирской области – глава ОГА https://intermax.fun/44-novyh-sluchaya-inficzirovaniya-koronavirusom-covid-19-zafiksirovali-v-zhitomirskoj-oblasti-glava-oga/…,
Геннадий Закупнев,@Zakupnev87,21 апр. 2020 г.,Карта распространения COVID-19 в Коми на 20 апреля,
#necro_tv,@tvnecro,21 апр. 2020 г.,"Петербург, апрель 2020, COVID-19",
Капитан Панда,@kapitan_panda,21 апр. 2020 г.,Тем временем появились платные туалеты. От 3 до 50 базовых. ,
Ivan Chebotar,@103ivan,21 апр. 2020 г.,"highly recommend... а а-а-а, COVID-19 наносит ещё один удар...  съёмки 4-го сезона остановлены!!! Выход переносится на  2021г.https://youtu.be/8RefWV9yQek",
ЕВРОНОВОСТИ ИЗ МИНСКА,@europatv_news,21 апр. 2020 г.,"FAKE NEWS: Беларусскому интернет-сми вынесли предупреждение за недостоверную информацию о ""коронавирусе"" #Евроновости #Fakenews #Беларусь #Фейки #СМИ #Здоровье #Лукашенко #Belarus #Covid19 #Lukashenko #Fakes  https://naviny.by/new/20200420/1587404778-mininform-potreboval-ot-nnby-ustranit-nedostovernuyu-informaciyu…",#covid #covid19
Новини України/Новости Украины,@InfoProstirUA,21 апр. 2020 г.,Не только сухой кашель: медик озвучил новый симптом коронавируса,
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,Меркель заявила об угрозе второй волны COVID-19 после ослабления карантина • Портал АНТИКОР https://antikor.com.ua/articles/374592-merkelj_zajavila_ob_ugroze_vtoroj_volny_covid-19_posle_oslablenija_karantina…,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,Банки РФ оказались лучше зарубежных готовы к #коронавирус'у по цифровизации - BCG http://jenke.rs/Xs80Jb,#коронавирус
#necro_tv,@tvnecro,21 апр. 2020 г.,Ежегодный фестиваль пива #Октоберфест отменён в 2020 году из-за пандемии #коронавирус'а.,#коронавирус
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,Дагестанкие правозащитники объявили сбор на средства защиты для врачей.,
Первый Крымский,@the1ru,21 апр. 2020 г.,Больница в Крыму выходит из обсервации: никто не заболел https://firstcrimean.ru/news/krym/127057-bolnica-v-krymu-vyhodit-iz-observacii-nikto-ne-zabolel.html…,
RuNews24.ru Новости,@runews24ru,21 апр. 2020 г.,Глава ФМБА: Россия недалека от пика заболеваемости коронавирусом,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,#Медведев обсудит с НКО меры антикризисной поддержки в условиях пандемии #COVID-19 http://jenke.rs/Aq6u0R,#covid #covid-19
richiclol,@richiclol,21 апр. 2020 г.,"#COVID19 #мечтыидиота #мысливслух Мы никогда не победим этот вирус, если страна будет против народа, а народ будет против страны. Для настоящей, быстрой победы, власть и общество должны объединиться и действовать как единое целое. Всем прийдётся пойти на уступки. Найти компромисс",#covid #covid19
Мир 24,@Mir24TV,21 апр. 2020 г.,Хирург Денис Кондратьев назвал условия смягчения режима самоизоляции в Москве.,
Said Musaev,@piligrim45,21 апр. 2020 г.,"Тем, кто не верить #коронавирус - https://instagram.com/tv/B_LFIfhIK7A/?igshid=on0jf70m86um… - #оставайсядома #COVID19",#covid #covid19 #коронавирус
RusDozorRu,@rusdozor_ru,21 апр. 2020 г.,«Это еще даже не начало». Вирусолог считает целесообразным два года карантина на Украине,
alla platon,@alla_platon,21 апр. 2020 г.,Профессор РАН описал сценарий искусственного происхождения COVID-19,
